"","team","percentage","aboveAvgPerc","perRegGame","aboveAvgPerReg","avgAllowed","aboveAvgAllowed","avgTimeouts","aboveAvgTimeouts","conversionRate","aboveAvgConv","percentageDiv","aboveAvgDiv"
"1","ARI",0.235,0,19.412,0,26.765,1,2.29,1,0.432,1,0,0
"2","ATL",0.412,0,18.882,0,21.941,1,2.32,1,0.373,1,0.5,1
"3","BAL",0.765,1,28.412,1,16.471,0,2.43,1,0.393,1,0.5,1
"4","BUF",0.647,1,26.529,1,18.294,0,2.18,0,0.445,1,0.667,1
"5","CAR",0.118,0,13.882,0,24.471,1,2,0,0.367,1,0.167,0
"6","CHI",0.412,0,21.176,0,22.294,1,2.43,1,0.427,1,0.333,0
"7","CIN",0.529,1,21.529,1,22.588,1,2.19,0,0.397,1,0.167,0
"8","CLE",0.647,1,23.294,1,21.294,0,2.31,1,0.306,1,0.5,1
"9","DAL",0.706,1,29.941,1,18.529,0,2.36,1,0.435,1,0.833,1
"10","DEN",0.471,0,21,0,24.294,1,1.72,0,0.354,1,0.5,1
"11","DET",0.706,1,27.118,1,23.235,1,2.39,1,0.397,1,0.667,1
"12","GB",0.529,1,22.529,1,20.588,0,1.88,0,0.441,1,0.667,1
"13","HOU",0.588,1,22.176,1,20.765,0,2.36,1,0.37,1,0.667,1
"14","IND",0.529,1,23.294,1,24.412,1,2.48,1,0.364,1,0.5,1
"15","JAX",0.529,1,22.176,1,21.824,1,2.23,0,0.382,1,0.667,1
"16","KC",0.647,1,21.824,1,17.294,0,2.25,0,0.409,1,0.667,1
"17","LA",0.588,1,23.765,1,22.176,1,2.12,0,0.407,1,0.833,1
"18","LAC",0.294,0,20.353,0,23.412,1,2.2,0,0.385,1,0.167,0
"19","LV",0.471,0,19.529,0,19.471,0,1.84,0,0.39,1,0.667,1
"20","MIA",0.647,1,29.176,1,23,1,2.34,1,0.409,1,0.667,1
"21","MIN",0.412,0,20.235,0,21.294,0,2.2,0,0.4,1,0.333,0
"22","NE",0.235,0,13.882,0,21.529,0,1.94,0,0.336,1,0.333,0
"23","NO",0.529,1,23.647,1,19.235,0,2.4,1,0.372,1,0.667,1
"24","NYG",0.353,0,15.647,0,23.941,1,2.28,1,0.337,1,0.5,1
"25","NYJ",0.412,0,15.765,0,20.882,0,2.23,0,0.317,1,0.333,0
"26","PHI",0.647,1,25.471,1,25.176,1,2.34,1,0.473,1,0.667,1
"27","PIT",0.588,1,17.882,0,19.059,0,2.06,0,0.382,1,0.833,1
"28","SEA",0.529,1,21.412,0,23.647,1,2.25,0,0.416,1,0.333,0
"29","SF",0.706,1,28.882,1,17.529,0,2.06,0,0.44,1,0.833,1
"30","TB",0.529,1,20.471,0,19.118,0,2.43,1,0.415,1,0.667,1
"31","TEN",0.353,0,17.941,0,21.588,0,2.48,1,0.364,1,0.167,0
"32","WAS",0.235,0,19.353,0,30.471,1,2.56,1,0.387,1,0,0
