"","game_seconds_remaining","ydstogo","posteam_score","first_down","runningRush","runningPass","yardline_100","play_type"
"1",3535,1,0,1,5,6,66,"run"
"2",3411,9,0,0,5,21,51,"pass"
"3",3291,5,0,1,5,6,78,"pass"
"4",3208,13,0,0,10,3,75,"run"
"5",3070,1,0,1,8,30,67,"pass"
"6",2760,9,0,0,44,33,11,"pass"
"7",2614,9,3,0,41,37,36,"pass"
"8",2447,2,7,1,32,56,56,"pass"
"9",2222,7,6,0,49,37,81,"pass"
"10",2106,10,7,0,35,86,37,"pass"
"11",1906,20,6,0,58,63,71,"run"
"12",1862,10,7,0,35,100,74,"pass"
"13",1669,5,13,1,64,103,38,"pass"
"14",1516,11,13,0,64,113,19,"pass"
"15",1272,25,10,0,47,180,68,"pass"
"16",1088,8,16,0,83,113,61,"pass"
"17",1039,20,10,0,47,192,85,"pass"
"18",909,15,16,0,78,113,65,"pass"
"19",714,6,10,1,76,192,6,"run"
"20",634,13,16,0,77,112,78,"pass"
"21",504,11,17,0,75,202,77,"pass"
"22",414,2,16,1,90,112,71,"run"
"23",298,7,16,1,93,120,63,"pass"
"24",189,6,17,0,82,202,18,"run"
"25",82,16,16,0,96,132,69,"pass"
"26",60,6,20,0,89,202,32,"run"
"27",52,13,20,0,92,202,39,"run"
"28",3459,5,0,0,5,12,58,"pass"
"29",3317,13,0,0,26,13,60,"pass"
"30",3182,9,0,1,24,13,76,"run"
"31",2936,15,0,0,32,54,35,"pass"
"32",2835,11,0,1,26,39,79,"pass"
"33",2716,9,0,0,27,39,56,"pass"
"34",2592,8,3,0,32,58,69,"pass"
"35",2447,5,0,0,115,39,8,"pass"
"36",2320,2,3,1,33,84,54,"run"
"37",2091,4,3,1,47,118,5,"pass"
"38",1845,1,10,1,62,133,22,"run"
"39",1829,13,10,0,69,133,23,"run"
"40",1757,10,3,1,124,53,75,"pass"
"41",1563,2,3,1,138,80,28,"run"
"42",1453,13,3,0,135,80,25,"pass"
"43",1069,12,6,0,135,99,67,"pass"
"44",982,6,13,0,75,172,81,"pass"
"45",900,3,6,0,142,99,68,"pass"
"46",704,9,13,1,79,190,74,"pass"
"47",589,2,13,0,87,190,57,"pass"
"48",499,5,6,1,147,123,52,"pass"
"49",376,5,6,1,152,137,23,"pass"
"50",200,1,13,0,167,140,18,"run"
"51",116,12,13,0,173,140,18,"run"
"52",10,10,13,0,94,236,32,"pass"
"53",566,12,16,0,97,236,77,"pass"
"54",3524,8,0,0,8,-6,73,"pass"
"55",3238,11,0,1,12,28,34,"pass"
"56",3116,1,0,0,21,28,11,"run"
"57",2909,9,0,0,53,-12,46,"pass"
"58",2700,4,0,1,58,0,11,"pass"
"59",2686,10,0,0,25,35,75,"pass"
"60",2579,10,7,0,58,9,85,"pass"
"61",2464,2,0,1,33,46,67,"pass"
"62",2268,8,0,1,34,69,41,"pass"
"63",1960,12,7,0,70,17,67,"pass"
"64",1899,10,7,0,48,87,83,"pass"
"65",1841,6,7,1,74,24,68,"pass"
"66",1591,10,7,0,85,100,33,"pass"
"67",1521,10,7,0,74,31,75,"pass"
"68",1308,6,10,0,101,103,60,"pass"
"69",1237,5,7,0,79,31,31,"run"
"70",789,1,10,1,135,112,66,"run"
"71",702,10,10,0,140,112,64,"pass"
"72",551,22,17,0,116,70,77,"pass"
"73",445,8,10,0,142,112,97,"pass"
"74",274,10,10,0,142,112,75,"pass"
"75",216,6,24,0,131,115,74,"run"
"76",83,5,10,1,145,146,38,"pass"
"77",28,15,10,0,150,146,34,"pass"
"78",3551,9,0,1,0,13,64,"pass"
"79",3472,5,0,0,5,13,47,"pass"
"80",3386,7,0,1,15,0,83,"run"
"81",3258,11,0,0,15,6,72,"pass"
"82",3133,1,0,0,8,19,77,"pass"
"83",3006,4,0,1,38,16,43,"run"
"84",2878,7,0,0,11,25,84,"pass"
"85",2663,10,0,0,56,41,24,"pass"
"86",2644,15,0,0,18,25,88,"run"
"87",2533,11,3,0,59,47,57,"pass"
"88",2332,3,0,0,59,25,38,"pass"
"89",2200,2,3,0,70,56,61,"run"
"90",2058,1,0,0,61,32,86,"run"
"91",1939,9,3,0,84,56,54,"pass"
"92",1908,8,0,0,64,36,77,"pass"
"93",1845,10,3,1,103,67,48,"pass"
"94",1721,11,10,0,124,85,76,"pass"
"95",1653,10,0,0,67,44,32,"pass"
"96",1400,3,3,1,64,58,43,"pass"
"97",1322,4,3,0,70,58,33,"pass"
"98",1088,9,10,0,169,122,20,"pass"
"99",921,8,3,0,74,71,61,"pass"
"100",740,5,13,0,191,139,27,"pass"
"101",680,10,3,0,74,77,75,"pass"
"102",507,4,3,0,74,82,69,"pass"
"103",369,7,24,0,208,142,74,"run"
"104",232,8,3,0,76,82,60,"pass"
"105",137,7,24,1,211,154,78,"pass"
"106",77,11,24,0,206,154,67,"run"
"107",3464,1,0,1,27,0,38,"run"
"108",3233,7,0,0,52,0,13,"run"
"109",3174,10,0,0,52,0,75,"pass"
"110",3055,4,6,1,4,51,68,"pass"
"111",2910,2,6,0,8,64,2,"pass"
"112",2850,19,0,0,52,0,84,"pass"
"113",2770,2,0,0,55,0,67,"run"
"114",2663,8,16,0,8,69,43,"pass"
"115",2465,8,16,0,20,75,20,"pass"
"116",2287,1,19,1,37,91,2,"run"
"117",2152,1,0,1,58,14,61,"pass"
"118",2084,12,0,0,63,14,55,"run"
"119",1952,5,0,1,68,43,21,"pass"
"120",1876,15,0,0,69,43,19,"run"
"121",1856,10,26,0,41,91,74,"run"
"122",1702,2,26,1,49,110,57,"pass"
"123",1586,6,26,1,78,117,19,"pass"
"124",1429,3,0,0,78,43,68,"run"
